feature,mean_importance
Distance,-0.0010542101636529023
Carrier_Code(IATA),-0.0005374588109552936
Airline,-0.0002224387213587753
Destination_Airport_ID,-6.29282526671937e-05
ID_train_666274,0.0
ID_train_666252,0.0
ID_train_666247,0.0
ID_train_665873,0.0
ID_train_665806,0.0
ID_train_665797,0.0
ID_train_665791,0.0
ID_train_665767,0.0
ID_train_665747,0.0
ID_train_665740,0.0
ID_train_665739,0.0
ID_train_665726,0.0
ID_train_665709,0.0
ID_train_666277,0.0
ID_train_665687,0.0
ID_train_665675,0.0
ID_train_665661,0.0
ID_train_665659,0.0
ID_train_665641,0.0
ID_train_665619,0.0
ID_train_665617,0.0
ID_train_665615,0.0
ID_train_665575,0.0
ID_train_665572,0.0
ID_train_665715,0.0
ID_train_666288,0.0
ID_train_666303,0.0
ID_train_665561,0.0
ID_train_666587,0.0
ID_train_666579,0.0
ID_train_666569,0.0
ID_train_666564,0.0
ID_train_666563,0.0
ID_train_666552,0.0
ID_train_666527,0.0
ID_train_666523,0.0
ID_train_666512,0.0
ID_train_666511,0.0
ID_train_666500,0.0
ID_train_666302,0.0
ID_train_666463,0.0
ID_train_666437,0.0
ID_train_666421,0.0
ID_train_666407,0.0
ID_train_666396,0.0
ID_train_666390,0.0
ID_train_666388,0.0
ID_train_666369,0.0
ID_train_666365,0.0
ID_train_666355,0.0
ID_train_666341,0.0
ID_train_666313,0.0
ID_train_666438,0.0
ID_train_665558,0.0
ID_train_665549,0.0
ID_train_666602,0.0
ID_train_665215,0.0
ID_train_665191,0.0
ID_train_665180,0.0
ID_train_665550,0.0
ID_train_665141,0.0
ID_train_665135,0.0
ID_train_665109,0.0
ID_train_665104,0.0
ID_train_665099,0.0
ID_train_665080,0.0
ID_train_665064,0.0
ID_train_665042,0.0
ID_train_665035,0.0
ID_train_664995,0.0
ID_train_664994,0.0
ID_train_664992,0.0
ID_train_664988,0.0
ID_train_664982,0.0
ID_train_000019,0.0
ID_train_665251,0.0
ID_train_665252,0.0
ID_train_665144,0.0
ID_train_665274,0.0
ID_train_665546,0.0
ID_train_665529,0.0
ID_train_665525,0.0
ID_train_665267,0.0
ID_train_665522,0.0
ID_train_665505,0.0
ID_train_665453,0.0
ID_train_665450,0.0
ID_train_665436,0.0
ID_train_665523,0.0
ID_train_665371,0.0
ID_train_665430,0.0
ID_train_665283,0.0
ID_train_665289,0.0
ID_train_665306,0.0
ID_train_666625,0.0
ID_train_665333,0.0
ID_train_665340,0.0
ID_train_665346,0.0
ID_train_665364,0.0
ID_train_665316,0.0
Destination_Airport,7.95756783336321e-05
Origin_Airport_ID,0.00029603688344358446
Origin_State,0.0004164493165910166
Origin_Airport,0.0005458714533597253
Tail_Number,0.0010691444724798215
Carrier_ID(DOT),0.002213461605831979
Destination_State,0.00273726013302803
Day_of_Month,0.004148625419288854
Month,0.0075244083214551115
Estimated_Arrival_Time,0.010887359657883644
Estimated_Departure_Time,0.013990213560312992
