feature,mean_importance
Distance,-0.00019702316253735752
Destination_Airport,-6.273721598976101e-05
Destination_Airport_ID,-2.1607206855478457e-05
Origin_Airport,-1.0704688135021456e-05
Origin_Airport_ID,-9.718110679735049e-07
ID_train_664988,4.4408920985006264e-17
ID_train_665251,4.4408920985006264e-17
ID_train_665617,4.4408920985006264e-17
ID_train_666365,4.4408920985006264e-17
ID_train_666421,4.4408920985006264e-17
ID_train_665064,4.4408920985006264e-17
ID_train_665283,4.4408920985006264e-17
ID_train_665572,4.4408920985006264e-17
ID_train_666564,4.4408920985006264e-17
ID_train_665546,4.4408920985006264e-17
ID_train_665340,4.4408920985006264e-17
ID_train_665525,4.4408920985006264e-17
ID_train_665274,4.4408920985006264e-17
ID_train_665191,5.551115123125783e-17
ID_train_665180,5.551115123125783e-17
ID_train_665141,5.551115123125783e-17
ID_train_665715,5.551115123125783e-17
ID_train_665109,5.551115123125783e-17
ID_train_665104,5.551115123125783e-17
ID_train_665726,5.551115123125783e-17
ID_train_665453,5.551115123125783e-17
ID_train_665797,5.551115123125783e-17
ID_train_664994,5.551115123125783e-17
ID_train_666313,5.551115123125783e-17
ID_train_666579,5.551115123125783e-17
ID_train_666274,5.551115123125783e-17
ID_train_666512,5.551115123125783e-17
ID_train_666527,5.551115123125783e-17
ID_train_666388,6.661338147750939e-17
ID_train_665523,6.661338147750939e-17
ID_train_666303,6.661338147750939e-17
ID_train_666407,6.661338147750939e-17
ID_train_666302,6.661338147750939e-17
ID_train_666390,6.661338147750939e-17
ID_train_665615,6.661338147750939e-17
ID_train_665739,6.661338147750939e-17
ID_train_665641,6.661338147750939e-17
ID_train_666252,6.661338147750939e-17
ID_train_665873,6.661338147750939e-17
ID_train_665687,6.661338147750939e-17
ID_train_665767,6.661338147750939e-17
ID_train_666288,6.661338147750939e-17
ID_train_665549,6.661338147750939e-17
ID_train_665364,6.661338147750939e-17
ID_train_665430,6.661338147750939e-17
ID_train_666569,6.661338147750939e-17
ID_train_666341,6.661338147750939e-17
ID_train_666463,6.661338147750939e-17
ID_train_666552,6.661338147750939e-17
ID_train_666523,6.661338147750939e-17
ID_train_665080,6.661338147750939e-17
ID_train_665135,6.661338147750939e-17
ID_train_665042,6.661338147750939e-17
ID_train_664995,6.661338147750939e-17
ID_train_665252,6.661338147750939e-17
ID_train_666511,7.771561172376095e-17
ID_train_665099,7.771561172376095e-17
ID_train_665740,7.771561172376095e-17
ID_train_664992,7.771561172376095e-17
ID_train_665791,7.771561172376095e-17
ID_train_665806,7.771561172376095e-17
ID_train_664982,7.771561172376095e-17
ID_train_000019,7.771561172376095e-17
ID_train_666587,7.771561172376095e-17
ID_train_665035,7.771561172376095e-17
ID_train_665709,7.771561172376095e-17
ID_train_666355,7.771561172376095e-17
ID_train_665675,7.771561172376095e-17
ID_train_665661,7.771561172376095e-17
ID_train_665659,7.771561172376095e-17
ID_train_665215,7.771561172376095e-17
ID_train_665619,7.771561172376095e-17
ID_train_666500,7.771561172376095e-17
ID_train_665289,7.771561172376095e-17
ID_train_665306,7.771561172376095e-17
ID_train_665561,7.771561172376095e-17
ID_train_666438,7.771561172376095e-17
ID_train_665505,7.771561172376095e-17
ID_train_665550,7.771561172376095e-17
ID_train_665316,7.771561172376095e-17
ID_train_665333,7.771561172376095e-17
ID_train_665529,7.771561172376095e-17
ID_train_665371,7.771561172376095e-17
ID_train_666396,8.881784197001253e-17
ID_train_666369,8.881784197001253e-17
ID_train_666563,8.881784197001253e-17
ID_train_666437,8.881784197001253e-17
ID_train_666625,8.881784197001253e-17
ID_train_666247,8.881784197001253e-17
ID_train_666277,8.881784197001253e-17
ID_train_665267,8.881784197001253e-17
ID_train_665346,8.881784197001253e-17
ID_train_665436,8.881784197001253e-17
ID_train_665450,8.881784197001253e-17
ID_train_665144,8.881784197001253e-17
ID_train_666602,8.881784197001253e-17
ID_train_665558,8.881784197001253e-17
ID_train_665575,8.881784197001253e-17
ID_train_665747,8.881784197001253e-17
ID_train_665522,8.881784197001253e-17
Airline,1.782968238632776e-05
Destination_State,3.8073931849536004e-05
Carrier_Code(IATA),5.1674841316273755e-05
Origin_State,8.01310107405806e-05
Tail_Number,0.0001062826603575151
Day_of_Month,0.0003740339288555994
Carrier_ID(DOT),0.0026011705628426695
Month,0.005543701608983731
Estimated_Departure_Time,0.011380885313738088
Estimated_Arrival_Time,0.011642098748066553
