feature,shap_importance
Estimated_Departure_Time,0.0315177826052944
Estimated_Arrival_Time,0.0192532456604653
Month,0.014089688490644169
Carrier_ID(DOT),0.005186272074129657
Carrier_Code(IATA),0.0028014879643788433
Distance,0.0013806964195484464
Day_of_Month,0.0006999873638475687
Tail_Number,0.0006823858715826551
Origin_State,0.0005639899570732846
Destination_State,0.0002486588520089552
Airline,0.00023781816013676444
Destination_Airport_ID,0.00022788689953039148
Origin_Airport,0.00015247262466064693
Destination_Airport,6.308238100552253e-05
Origin_Airport_ID,2.6699491945766207e-05
ID_train_666438,1.9171332922841735e-06
ID_train_665436,1.895016766465202e-06
ID_train_665791,0.0
ID_train_666288,0.0
ID_train_666277,0.0
ID_train_666274,0.0
ID_train_666252,0.0
ID_train_666247,0.0
ID_train_665873,0.0
ID_train_665806,0.0
ID_train_665797,0.0
ID_train_665709,0.0
ID_train_665767,0.0
ID_train_665747,0.0
ID_train_665740,0.0
ID_train_665739,0.0
ID_train_665726,0.0
ID_train_665715,0.0
ID_train_666303,0.0
ID_train_665687,0.0
ID_train_665675,0.0
ID_train_665661,0.0
ID_train_665659,0.0
ID_train_666302,0.0
ID_train_666396,0.0
ID_train_666313,0.0
ID_train_666511,0.0
ID_train_666602,0.0
ID_train_666587,0.0
ID_train_666579,0.0
ID_train_666569,0.0
ID_train_666564,0.0
ID_train_666563,0.0
ID_train_666552,0.0
ID_train_666527,0.0
ID_train_666523,0.0
ID_train_666512,0.0
ID_train_666500,0.0
ID_train_666341,0.0
ID_train_666463,0.0
ID_train_666437,0.0
ID_train_666421,0.0
ID_train_666407,0.0
ID_train_665619,0.0
ID_train_666390,0.0
ID_train_666388,0.0
ID_train_666369,0.0
ID_train_666365,0.0
ID_train_666355,0.0
ID_train_665641,0.0
ID_train_665549,0.0
ID_train_665617,0.0
ID_train_665274,0.0
ID_train_665252,0.0
ID_train_665251,0.0
ID_train_665215,0.0
ID_train_665191,0.0
ID_train_665180,0.0
ID_train_665144,0.0
ID_train_665141,0.0
ID_train_665135,0.0
ID_train_665109,0.0
ID_train_665104,0.0
ID_train_665099,0.0
ID_train_665080,0.0
ID_train_665064,0.0
ID_train_665042,0.0
ID_train_665035,0.0
ID_train_664995,0.0
ID_train_664994,0.0
ID_train_664992,0.0
ID_train_664988,0.0
ID_train_664982,0.0
ID_train_000019,0.0
ID_train_665267,0.0
ID_train_665283,0.0
ID_train_665615,0.0
ID_train_665289,0.0
ID_train_665575,0.0
ID_train_665572,0.0
ID_train_665561,0.0
ID_train_665558,0.0
ID_train_665550,0.0
ID_train_665546,0.0
ID_train_665529,0.0
ID_train_665525,0.0
ID_train_665523,0.0
ID_train_665522,0.0
ID_train_665505,0.0
ID_train_665453,0.0
ID_train_665450,0.0
ID_train_665430,0.0
ID_train_665371,0.0
ID_train_665364,0.0
ID_train_665346,0.0
ID_train_665340,0.0
ID_train_665333,0.0
ID_train_665316,0.0
ID_train_665306,0.0
ID_train_666625,0.0
