iter	MultiClass
0	1.078355568
1	1.063205043
2	1.049711476
3	1.039120694
4	1.03012683
5	1.022888562
6	1.017022269
7	1.011961224
8	1.007216908
9	1.003948713
10	1.000437112
11	0.997595942
12	0.9950237627
13	0.9933345809
14	0.9918280053
15	0.9899795551
16	0.9882064293
17	0.9866876622
18	0.9854241189
19	0.9842209751
20	0.9830672656
21	0.9821380005
22	0.9812102226
23	0.9806799802
24	0.9798602545
25	0.9790246641
26	0.9785082465
27	0.9779969562
28	0.9775051756
29	0.9771477164
30	0.9766544898
31	0.9761579572
32	0.9756673439
33	0.9749386756
34	0.9744754217
35	0.9739831524
36	0.9733654141
37	0.9729012978
38	0.9726628326
39	0.9722445771
40	0.9718034734
41	0.9715487515
42	0.9711685451
43	0.9708166655
44	0.9705027605
45	0.9702496377
46	0.9698334238
47	0.9695356219
48	0.9691382091
49	0.9688953118
50	0.9685518411
51	0.9683244189
52	0.9680012634
53	0.9676958273
54	0.9675062234
55	0.9673065589
56	0.9670230399
57	0.9668099473
58	0.9665518373
59	0.9662029585
60	0.9657716529
61	0.9655481108
62	0.9652684646
63	0.9650446624
64	0.964640733
65	0.9644478857
66	0.9641244807
67	0.9637318881
68	0.963521786
69	0.9633876556
70	0.9632476942
71	0.9630445224
72	0.9628898966
73	0.9627508459
74	0.9626081602
75	0.9624044435
76	0.9622656085
77	0.9621021106
78	0.961909518
79	0.961790947
80	0.9615318254
81	0.9612360713
82	0.9610371809
83	0.9608498945
84	0.9606646752
85	0.9606210834
86	0.9604111302
87	0.9602800372
88	0.9601687005
89	0.9600579338
90	0.9598148491
91	0.9595854519
92	0.9593829935
93	0.9592343515
94	0.9589676
95	0.9587493698
96	0.9585480846
97	0.9583973337
98	0.9582969539
99	0.9582042982
100	0.9580880946
101	0.957936863
102	0.9577903662
103	0.957665423
104	0.95757816
105	0.9574808235
106	0.9573483312
107	0.957270307
108	0.957118951
109	0.9569726781
110	0.9566840773
111	0.9565428582
112	0.9563987284
113	0.9561290899
114	0.9558408101
115	0.9555848879
116	0.9554230921
117	0.9552018529
118	0.9550241015
119	0.9548304363
120	0.9546678392
121	0.9545177385
122	0.9543459419
123	0.9540851491
124	0.9538785236
125	0.9537589194
126	0.9536309256
127	0.9534198163
128	0.9532630192
129	0.9530548935
130	0.9528656875
131	0.9527331063
132	0.9525339448
133	0.9523237891
134	0.9520368352
135	0.9518461529
136	0.9517075939
