iter	Passed	Remaining
0	10	10975
1	22	11046
2	34	11342
3	45	11221
4	54	10912
5	65	10897
6	76	10919
7	87	10882
8	99	10910
9	109	10889
10	120	10833
11	132	10868
12	142	10810
13	153	10796
14	163	10744
15	173	10700
16	185	10697
17	195	10681
18	206	10677
19	218	10721
20	229	10701
21	239	10651
22	248	10574
23	259	10535
24	269	10520
25	280	10491
26	290	10478
27	301	10456
28	312	10457
29	323	10464
30	333	10410
31	342	10371
32	353	10348
33	363	10317
34	374	10328
35	385	10328
36	397	10335
37	408	10341
38	420	10359
39	431	10346
40	442	10344
41	451	10307
42	462	10289
43	473	10279
44	483	10258
45	493	10240
46	504	10235
47	514	10208
48	526	10213
49	536	10190
50	547	10179
51	558	10176
52	569	10173
53	580	10172
54	591	10164
55	603	10172
56	615	10184
57	646	10504
58	658	10505
59	670	10500
60	681	10488
61	692	10474
62	705	10491
63	716	10484
64	728	10485
65	740	10477
66	751	10466
67	763	10469
68	775	10461
69	786	10446
70	796	10420
71	805	10385
72	817	10379
73	829	10382
74	839	10359
75	850	10343
76	861	10330
77	872	10308
78	881	10279
79	892	10260
80	903	10246
81	914	10237
82	925	10222
83	936	10216
84	948	10206
85	953	10132
86	963	10112
87	973	10091
88	984	10077
89	995	10068
90	1005	10046
91	1016	10034
92	1028	10032
93	1040	10026
94	1050	10010
95	1061	10000
96	1072	9985
97	1083	9972
98	1094	9959
99	1104	9937
100	1115	9926
101	1125	9910
102	1135	9887
103	1146	9879
104	1156	9860
105	1167	9845
106	1177	9828
107	1188	9817
108	1199	9809
109	1210	9790
110	1221	9781
111	1232	9775
112	1244	9770
113	1256	9767
114	1268	9760
115	1280	9757
116	1292	9752
117	1303	9739
118	1313	9722
119	1324	9713
120	1335	9701
121	1345	9686
122	1356	9671
123	1367	9661
124	1377	9644
125	1389	9635
126	1399	9620
127	1409	9603
128	1420	9590
129	1433	9590
130	1444	9579
131	1456	9575
132	1467	9567
133	1477	9549
134	1490	9548
135	1500	9532
136	1511	9519
137	1521	9505
138	1532	9490
139	1542	9477
140	1553	9466
141	1564	9454
142	1575	9441
143	1586	9428
144	1597	9418
145	1608	9408
146	1618	9391
147	1628	9377
148	1639	9362
149	1649	9348
150	1661	9340
151	1671	9325
